SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
1	M. Meier Müllergasse 1 12345 Stadt X Internationale Au-pair Vermittlung Bahnhofstr .						
2	101 65185 Wiesbaden Stadt X , den 14.05.11 .						
3	Sehr geehrte Damen und Herren , ihre Anzeige in der Zeitung hat mich sehr erfreut , so was habe ich schon lange gesucht .						
4	Da mir die Arbeit mit anderen Menschen sehr großen Spas bereitet , habe ich mich entschlossen , mich zu bewerben .	Spas	51	55		Spaß	
5	Ich bin flexibel und für neuen Aufgaben ofen .	ofen	40	44		offen	
6	Takt , Geduld , warmherzigkeit und Zuverlässigkeit bringe ich mit , sowie Erfahrung im Umgang mit Kindern und der Haushaltsführung .	warmherzigkeit	16	30		Warmherzigkeit	
7	Ich spreche Russisch , Englisch , Kasachisch , habe Grundkenntnisse in Deutsch .						
8	Zusätzlich habe ich Computerkenntnisse .						
9	Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Naturlich	0	9		Natürlich	
9	Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Deutsche	25	33		deutsche	
10	Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Reche	70	75		Rechte	
10	Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Pflichen	78	86		Pflichten	
11	Werde ich versichert ?						
12	Welche Freizeitaktivitäten finden statt ?						
13	Wiviel Stunden in der Woche müssen die Kinder betreut werden ?	Wiviel	0	6		Wieviel	
14	Ob ich was verdiene ?						
15	Über eine baldige Antwort würde ich mich sehr freuen Mit freundlichen Grüssen Maria Meier						
16	Müller Julia Bahnhofsstr .						
17	1 A Stadt X Armenien AUPAIRSGLOBAL Bahnhofstr .						
18	101 65185 Wiesbaden 0611/9988776 14.05.2011 Sehr geehrte Damen und Herren ich habe Ihre Anannse in der Zeitung gelesen .	Anannse	88	95		Annonce	
19	Von ihr Anzeige bin ich interesiert .	interesiert	24	35		interessiert	
20	Für diese Stelle bringe ich alle Voraussetzungen mit .						
21	Ich habe Linguistik studiert und spreche Deutsch , Russicsh und Armenisch .	Russicsh	51	59		Russisch	
22	Zusätzlich habe ich Computerkenntnisse .						
23	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	sondan	131	137		sondern	
23	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	Mentalitet	147	157		Mentalität	
24	Diese Erfarung wurde mich späte gut helfen , bei meine Arbeit in Armenien .	Erfarung	6	14		Erfahrung	
25	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	Könen	0	5		Können	
25	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	sie	6	9		Sie	
25	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	arbeit	68	74		Arbeit	
26	Ich möchte wiessen welche Rechte und Pflichte ich in Deutschland habe .	wiessen	11	18		wissen	
27	Kann ich mit meinem Armenischen Pass nach Deutschland fliegen ?	Armenischen	20	31		armenischen	
28	Was für Freizeitaktivitäten die Deutschekinder mögen ?	Deutschekinder	32	46		deutschen Kinder	
29	Ich würde Ihnen sehr dankbar , wenn Sie alle meine Fragen bald beantworten konnen .						
30	Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	Uber	0	4		Über	
30	Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	verbliebe	57	66		verbleibe	
31	Julia Müller						
32	Michael Meier 1 Zentralplatz 1234 .						
33	Stadt X Aupairsglobal Bahnhofstr .						
34	101 65185 Wiesbaden Tel : 0611/9988776 14-5-2011 Sehr geehrte Damen und Herren , mit großem Interesse habe ich in XY Zeitung Ihre Anzeige .						
35	Ich begeistere für diese Angebot Chance um mein Deutsch zu verbesser und andere Leute kennenzulernen , die unterschietliche und verschiedenen Ländern kommen , und ganz unterschiedliche Kulturen haben .	unterschietliche	107	123		unterschiedliche	
36	Ich möch-unreadable - mich über die Unterlagen informieren , die ich brauche , um eine Aufenthaltserlaubnis in Deutschland zu erhalten .						
37	Ich - unreadable - nicht , das ich eine Deutschprüfung bestehen muss .	das	27	30		dass	
38	Wichtig ist , meine Rechte und Pflichten zu weißen .						
39	Welche Tätigkeiten muss ich ( obligatorisch ) unbedingt erledigen und was kann ich auch freiwillig machen ?						
40	Können Sie mir doch mitteilen , ob ich eine Krankenversicherung in diesem Zentrum haben will , und ob ich am Wochende frei haben will ?	Wochende	109	117		Wochenende	
41	Wie kann ich die Freizeiten verbringen ?						
