SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
1	Residence al Lago Maria Rossi Strada Maggiore 2/D Città X Ungheria 13/08/2011 Egregio Signore/a , La scrivo al riferimento dei servizi del Suo residence .						
2	Ci sono stata con il mio fidanzato per due settimane .						
3	Sembrava una buona scelta il suo hotel .						
4	Ma tutto era al contrario come era scritta nel Suo annuncio .						
5	Siamo appassianati dello sport .	appassianati	6	18		appassionati	
6	Purtroppo non abbiamo potuto giocare tennis perchè i campi da tennis erano in riparazione .	perchè	44	50		perché	
7	Questo era un problema grande riguardando alla cosa che il mio fidanzato un professionista del tennis .						
8	Quando abbiamo chiesto aiuto non abbiamo trovato una sola persona per risolverlo .						
9	Quanto a me la piú grande problema era che il lago sia stata lontanissimo .						
10	Mentre l' annuncio diceva """" Il lago si raggiunge comodamente con i mezzi pubblici """" .						
11	Questo non è un bugio totalmente ma c' erano pochi collegamenti però non ho potuto andarci .						
12	Una altra mancezza era l' équipe di animazione .						
13	Me la piace molto ma c' era una sola sera quando c' èra animazione .						
14	Non sono soddisfatta neanche il mio fidanzato è contento con i Suoi servizi .						
15	Le preghiamo compensazione e se potessi darLe un consiglio cambia l' annuncio .						
16	In aspetta di una sua risposta .						
17	Cordiali saluti , Maria Rossi						
18	Maria Rossi 12345 Città X , Strada Maggiore n.13 .						
19	Ungheria Città X , 13.08.2011						
20	Canton Ticino Residence al Lago Alla cortese attenzione del Direttore Egregio Signore Direttore , ci siamo sistemati nel Vostro albergo dalle 5 alle 20 agosto .						
21	Il numero del nostro appartamento è 19.						
22	La Vostra pubblicità abbiamo trovato sul HVG , era una ottima offerta .						
23	Ma per dire la verità non siamo riusciti a divertirci perchè non tutte le cose sono come avete scritto nella pubblicità .	perchè	54	60		perché	
24	Ci tengo a dire tutte le cose che ci fatto male .						
25	Il residenze è molto vecchio e i muri sono sporchi .	residenze	3	12		residence	
26	L' aria condizionata non funziona , Vi prego di ripararla che presto è possibile .						
27	Il lago è più lontano e l' autobus c' è solo 2 volta al giorno .						
28	I campi di tennis erano in riparazione , la piscina è sempre soffrafollata .						
29	Vi prego se è possibile un sconto di 30 percento .						
30	Aspetto alla Vostra cortese risposta Distinti Saluti , Maria Rossi						
31	Residence del Lago Lugano Via Mulino Maria Rossi Città X Strada Maggiore Oggetti la viaggia al Vostro residence Spettabile Agenzia , sono Maria Rossi e Vi scrivo perché ho alcuni problemi con il Vostro appartamento .						
32	Dopo avevo letto il Vostro annuncio ho prenotato una vacanza nel Vostro villaggio turistico .						
33	Ma devo dire che non sono contenta delle cose perché la realtà e la cose scritte sul Vostro annuncio non sono simile .						
34	Ora colgo l' occasione per scrivere che cose mi fanno lamentare .						
35	La prima cosa è , l' appartamento è vecchio , dopo l' aria condizionata non ha funzionata e sopprattutto la piscina era sempre sovraffollata .	sopprattutto	92	104		sopratutto	
36	Il lago era lontano dall' appartamento ed erano pochi collegamenti .						
37	Per questi problemi non abbiamo potuto fare il bagno neanche in piscina neanche in lago .						
38	Così fare dello sport era difficile .						
39	A mio parere dovrete cambiare qualcosa perché in questo modo secondo me non Vi interessano la contentezza dei visitori solo i soldi .						
40	In attesa della Vostra risposta , colgo l' occasione per fare i miei distinti saluti , Maria Rossi 01.01.2011 ,						
41	Città X						
42	Rossi Maria Strada Maggiore 13 12345 Città X Spett.le						
43	Solidarietà Viva Viale Bruzzi 117 21023 Milano Città X , 15 Maggio 2011 Egregi Signori , Avevo letto la Vs . inserizione sul giornale , volevo chiedere qualche informazioni .						
44	Al inizio vorrei offrire il mio aiuto per voi nel campo estivo .						
45	Sono molto socievole , e ho giá lavorato in Italia per tre mesi .	giá	28	31		già	
46	Sono una studentessa universitaria .						
47	Adesso sto studiando rapporti internazionali presso l' università di Azienda X a Città X , ma ho già una laurea in soziologia .						
48	Ho 24 anni e parlo tre lingue : inglese , tedesco e l' italiano .						
49	Sono molto communicative e seria .						
50	Come ho scritto prima , ho già qualche esperienze lavorative : ho lavorato in Italia con il programma Leonardo da Vinci .						
