Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
Da mir die Arbeit mit anderen Menschen sehr großen Spas bereitet , habe ich mich entschlossen , mich zu bewerben .	Spas	51	55	Spaß	Spaß	y
Ich bin flexibel und für neuen Aufgaben ofen .	ofen	40	44	offen	offen	y
Takt , Geduld , warmherzigkeit und Zuverlässigkeit bringe ich mit , sowie Erfahrung im Umgang mit Kindern und der Haushaltsführung .	warmherzigkeit	16	30	Barmherzigkeit	Warmherzigkeit	n
Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Naturlich	0	9	Natürlich	Natürlich	y
Naturlich würde ich gern Deutsche Sprache und das Leben in Deutschland kennenlernen .	Deutsche	25	33	deutschen	deutsche	n
Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Reche	70	75	Recht	Rechte	n
Ich wäre Ihnen sehr dankbar , wenn Sie mir weitere Informationen über Reche , Pflichen und Aufenthaltsformalitäten zuschicken könnten .	Pflichen	78	86	Pflichten	Pflichten	y
Wiviel Stunden in der Woche müssen die Kinder betreut werden ?	Wiviel	0	6	Viel	Wieviel	n
101 65185 Wiesbaden 0611/9988776 14.05.2011 Sehr geehrte Damen und Herren ich habe Ihre Anannse in der Zeitung gelesen .	Anannse	88	95	Analyse	Annonce	n
Von ihr Anzeige bin ich interesiert .	interesiert	24	35	interessiert	interessiert	y
Ich habe Linguistik studiert und spreche Deutsch , Russicsh und Armenisch .	Russicsh	51	59	russisch	Russisch	n
Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	sondan	131	137	sondern	sondern	y
Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	Mentalitet	147	157	Mentalität	Mentalität	y
