Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
Siamo appassianati dello sport .	appassianati	6	18	appassionati	appassionati	y
Purtroppo non abbiamo potuto giocare tennis perchè i campi da tennis erano in riparazione .	perchè	44	50	perché	perché	y
Ma per dire la verità non siamo riusciti a divertirci perchè non tutte le cose sono come avete scritto nella pubblicità .	perchè	54	60	perché	perché	y
Il residenze è molto vecchio e i muri sono sporchi .	residenze	3	12	residence	residence	y
La prima cosa è , l' appartamento è vecchio , dopo l' aria condizionata non ha funzionata e sopprattutto la piscina era sempre sovraffollata .	sopprattutto	92	104	soprattutto	sopratutto	n
Sono molto socievole , e ho giá lavorato in Italia per tre mesi .	giá	28	31	già	già	y
Sono stata impiegata in GAL (Gruppo Azzione Locale ) quindi lo so come importante è il sviluppo , anche presso l' universita sto studiando politico di sviluppo reggionale .	universita	114	124	università	università	y
Sono stata impiegata in GAL (Gruppo Azzione Locale ) quindi lo so come importante è il sviluppo , anche presso l' universita sto studiando politico di sviluppo reggionale .	reggionale	160	170	regionale	regionale	y
Sono quasi tutto il estate libera (da 21 giugo al 11 augusto ) , allora potrei cominciare nel primo campo .	giugo	41	46	giugno	giugno	y
Sono quasi tutto il estate libera (da 21 giugo al 11 augusto ) , allora potrei cominciare nel primo campo .	augusto	53	60	Augusto	agosto	n
Maria Rossi Città X Strada Maggiore 9 12345 Ungheria Canton Ticino Lugano 18 Via Montanini 1234 Italia 13 agosto 2011 Spettabile ditta , Vi scrivo perchè ho avuto dei problemi durante la mia permanenza nel vostro villaggio turistico .	perchè	147	153	perché	perché	y
Prima di tutto sono state grande differenze tra la realtà e l' annucio pubblicato che ho letto su vostro sito Internet .	annucio	63	70	annuncio	annuncio	y
Per esempio l' area condizionata non era funzionante e la piscina era sempre sovraffollata .	area	15	19	aria	aria	y
In oltre sono una persona sportiva ma non ho potuto fare niente di sport .	In	0	2	In	Inoltre	n
In oltre sono una persona sportiva ma non ho potuto fare niente di sport .	oltre	3	8	oltre	Inoltre	n
Non ho potuto nuotare o non ho potuto giocare tennis perchè i campi da tennis erano in riparazione Ho scelto il Vostro villaggo turistico perchè sembrava un residence bellissimo .	perchè	53	59	perché	perché	y
Non ho potuto nuotare o non ho potuto giocare tennis perchè i campi da tennis erano in riparazione Ho scelto il Vostro villaggo turistico perchè sembrava un residence bellissimo .	villaggo	119	127	villaggio	villaggio	y
Non ho potuto nuotare o non ho potuto giocare tennis perchè i campi da tennis erano in riparazione Ho scelto il Vostro villaggo turistico perchè sembrava un residence bellissimo .	perchè	138	144	perché	perché	y
Anche il residenze era vecchio mentre ho letto che questo è di recente costruzione .	residenze	9	18	residente	residence	n
13 agosto 2011 Gentile Solidarietá Viva , avendo letto con piacere il suo annuncio , ho deciso di partecipare ad un corso da suo organizzato .	Solidarietá	23	34	solidarietà	Solidarietà	n
Mi piacerebbe offrire la mia aiuto e vorrei viaggare ad Africa con la sua ditta .	viaggare	44	52	viaggiare	viaggiare	y
È un buon occassione per practicare le lingue e impiegare la responsabilità .	occassione	10	20	occasione	occasione	y
È un buon occassione per practicare le lingue e impiegare la responsabilità .	practicare	25	35	praticare	praticare	y
Città X , 08 19 2011 Gentile Signore , Io voglio scrivere i mei probleme .	Io	39	41	Io	io	n
L' attore ha raccontato il residence é nuovo .	é	37	38	è	è	y
